chapter,heading,hs_code,code_format,description,duty_rate,efta,sg,usa
1,01.01,010129900001,01.01.29.90.00.01,,0%,,,
1,01.01,010129900002,01.01.29.90.00.02,,0%,,,
1,01.01,010129900003,01.01.29.90.00.03,,0%,,,
1,01.01,010130000000,01.01.30.00.00.00,,0%,,,
1,01.01,010190000000,01.01.90.00.00.00,,0%,,,
1,01.02,010221000001,01.02.21.00.00.01,,0%,,,
1,01.02,010221000002,01.02.21.00.00.02,,0%,,,
1,01.02,010229000003,01.02.29.00.00.03,,0%,,,
1,01.02,010229000004,01.02.29.00.00.04,,0%,,,
1,01.02,010229009999,01.02.29.00.99.99,,0%,,,
1,01.02,010231000001,01.02.31.00.00.01,,0%,,,
1,01.02,010231000002,01.02.31.00.00.02,,0%,,,
1,01.02,010239000001,01.02.39.00.00.01,,0%,,,
1,01.02,010239000002,01.02.39.00.00.02,,0%,,,
1,01.02,010239009999,01.02.39.00.99.99,,0%,,,
1,01.02,010290110000,01.02.90.11.00.00,,0%,,,
1,01.02,010290120000,01.02.90.12.00.00,,0%,,,
1,01.02,010290190000,01.02.90.19.00.00,,0%,,,
1,01.02,010290900000,01.02.90.90.00.00,,0%,,,
1,01.03,010310000000,01.03.10.00.00.00,,0%,,,
1,01.03,010391000000,01.03.91.00.00.00,: غيرها كيلو غرام50 تزن أقل من- -,0%,,,
1,01.03,010392000000,01.03.92.00.00.00,كيلو غرام أو أكثر50 تزن- -,0%,,,
1,01.04,010410100001,01.04.10.10.00.01,.حيوانات حية من فصيلتي الضأن و الماعز : ضأن: ضأن أصيلة لألنسال- - ذكور الضأن االصيلة لألنسال إناث الضأن االصيلة لألنسال : غيرها- - ذكور الضأن معدة للذبح إناث الضأن معدة للذبح إناث الضأن غير االصيلة إلنتاج الحليب غيرها من ذكور وإناث الضأن : ماعز: ماعز أصيلة لألنسال- - ذكور الماعز االصيلة لألنسال إناث الماعز االصيلة لألنسال : غيرها- - ذكور الماعز معدة للذبح إناث الماعز معدة للذبح إناث الماعز غير االصيلة إلنتاج الحليب غيرها من ذكور وإناث الماعز,0%,,,
1,01.04,010410100002,01.04.10.10.00.02,,0%,,,
1,01.04,010410900001,01.04.10.90.00.01,,0%,,,
1,01.04,010410900002,01.04.10.90.00.02,,0%,,,
1,01.04,010410900003,01.04.10.90.00.03,,0%,,,
1,01.04,010410909999,01.04.10.90.99.99,,0%,,,
1,01.04,010420100001,01.04.20.10.00.01,,0%,,,
1,01.04,010420100002,01.04.20.10.00.02,,0%,,,
1,01.04,010420900001,01.04.20.90.00.01,,0%,,,
1,01.04,010420900002,01.04.20.90.00.02,,0%,,,
1,01.04,010420900003,01.04.20.90.00.03,,0%,,,
1,01.04,010420909999,01.04.20.90.99.99,,0%,,,
1,01.05,010511000000,01.05.11.00.00.00,"A A D A A D A A D A A D A A D Live poultry,that is to say,fowls of the species Gallus domesticus , ducks, geese, turkeys and guinea fowls. - Weighing not more than 185 g: - - Fowls of the species Gallus domesticus - - Turkeys - - Ducks -- Geese -- Guinea fowls - Other: - - Fowls of the species Gallus domesticus : A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D - - - Layers - - - Broilers - - - As mothers - - - Other - - Other: - - - Tame ducks and geesse - - - Turkeys - - - Other Other live animals. - Mammals: - - Primates : - - - Monkey animals : Orangutans Gorilla Chimpanzee Macaque monkey Other monkey animals - - - Other primates - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia) ; seals, sea lions and walruses (mammals of the suborder Pinnipedia) : A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D Whales Dolphins manatees and dugongs Seals sea lions walruses Other mammals of the order Cetacea, order Sirenia or suborder Pinnipedia - - Camels and other camelids (Camelidae): - - - Pure-bred breeding دجاج، ديوك ودجاج رومي، أوز، بط،دواجن من فصيلة جالوس دوميستكوس . حيه من األنواع األليفة،)غينيا (غرغر : غرام185 بوزن ال يزيد عن دواجن من فصيلة جالوس دوميستكوس- ديوك ودجاج رومي- بط- إوز- ) دجاج غينيا ( غرغر- : غيرها-",0%,,,
1,01.05,010512000000,01.05.12.00.00.00,,0%,,,
1,01.05,010513000000,01.05.13.00.00.00,,0%,,,
1,01.05,010514000000,01.05.14.00.00.00,,0%,,,
1,01.05,010515000000,01.05.15.00.00.00,,0%,,,
1,01.05,010594100000,01.05.94.10.00.00,: دواجن من فصيلة جالوس دوميستكوس- دجاج بياض- - دجاج الحم- - دجاج أمهات- - غيرها- - : غيرها- بط وإوز أليف- - ديوك ودجاج رومي- - غيرها- - .حيوانات حية أخر : ثدييات: حيوانات رئيسة- : حيوانات من فصيلة القردة- - )انسان الغاب (اورنجتان الغوريال الشمبانزي قرد المكاك حيوانات أخرى من فصيلة القردة حيوانات رئيسية أخر- - -,0%,,,
1,01.05,010594200000,01.05.94.20.00.00,,0%,,,
1,01.05,010594300000,01.05.94.30.00.00,,0%,,,
1,01.05,010594900000,01.05.94.90.00.00,,0%,,,
1,01.05,010599100000,01.05.99.10.00.00,,0%,,,
1,01.05,010599200000,01.05.99.20.00.00,,0%,,,
1,01.05,010599900000,01.05.99.90.00.00,,0%,,,
1,01.06,010611100001,01.06.11.10.00.01,,0%,,,
1,01.06,010611100002,01.06.11.10.00.02,,0%,,,
1,01.06,010611100003,01.06.11.10.00.03,,0%,,,
1,01.06,010611100004,01.06.11.10.00.04,,0%,,,
1,01.06,010611109999,01.06.11.10.99.99,,0%,,,
1,01.06,010611900000,01.06.11.90.00.00,,0%,,,
1,01.06,010612000001,01.06.12.00.00.01,حيتان ودالفين وخنازير بحرية (ثدييات من رتبة الحيتان) ؛ خراف بحر- وأطومات (ثدييات من رتبة الخيالنيات) ؛ عجل بحر وفقمات وفظ (ثدييات من الرتبة : ) الفرعية لزعنفيات األقدام حيتان دالفين خرفان بحر و أطومات عجول بحر فقمات فظ,0%,,,
1,01.06,010612000002,01.06.12.00.00.02,,0%,,,
1,01.06,010612000003,01.06.12.00.00.03,,0%,,,
1,01.06,010612000004,01.06.12.00.00.04,,0%,,,
1,01.06,010612000005,01.06.12.00.00.05,,0%,,,
1,01.06,010612000006,01.06.12.00.00.06,,0%,,,
1,01.06,010612009999,01.06.12.00.99.99,غيرها من ثدييات من رتبة الحيتان أو الخيالنيات او زعنفيات األقدام,0%,,,
1,01.06,010613100000,01.06.13.10.00.00,: جمال وحيوانات أخر من فصيلة الجمال- جمال أصيلة لألنسال- - -,0%,,,
1,01.06,010613200001,01.06.13.20.00.01,"- - - For domestic competitions and racing : : جمال للمسابقات الرياضية و المزاينة- - - Camel for sports competitions Camel for beauty competitions - - - Other - -Rabbits and hares : Tame rabbits Wild rabbits - - Other: - - - Gazelles and deer : African reem deer Al - Ghazal Al , Arabi Reem deer Nubian deer. brown deer. Asfahani deer Niljay deer. Other gazelles and deer - - - Dogs : Dogs (for guarding) Dogs (for hunting) Other dogs - - - Foxes, minks and other fur animals : Foxes Mink Raccoon Mara Squirrels including flying squirrels Hedgehogs Other fur animals - - - Animals for zoos, fairs, and imported animals for scientific experiment and research labs : Animals for zoos Animals for fairs Animals imported for scientific experiment and research labs - - - Other : Cats Mice lions tigers leopards hyenas Elephants Giraffes Bears Scorpions Spiders Lynx Wolves Zebra Rhinoceros Hippopotamus Civet Other - Reptiles (including snakes and turtles) : snakes Turtles Iguanas Crocodiles Al dabb Chamelea Other reptiles - Birds: - - Birds of prey : جمال للمسابقات الرياضية جمال للمزاينة غيرها- - : أرانب وأرانب برية- أرانب أليفة أرانب برية : غيرها- : غزالن وظباء- - غزال الريم االفريقي الغزال العربي غزال الريم الوعل النوبي االيل األسمر الوعل االصفهاني نيلجاي غزالن و ظباء اخر : كالب- - )كالب (للحراسة )كالب (للصيد غيرها من كالب : ثعالب ومنك وأمثالها من حيوانات الفراء- - ثعالب منك راكون مارا السناجب بما فيها السناجب الطائرة القنافذ غيرها من حيوانات الفراء",0%,,,
1,01.06,010613200002,01.06.13.20.00.02,,0%,,,
1,01.06,010613900000,01.06.13.90.00.00,,0%,,,
1,01.06,010614000001,01.06.14.00.00.01,,0%,,,
1,01.06,010614000002,01.06.14.00.00.02,,0%,,,
1,01.06,010619300001,01.06.19.30.00.01,,0%,,,
1,01.06,010619300002,01.06.19.30.00.02,,0%,,,
1,01.06,010619300003,01.06.19.30.00.03,,0%,,,
1,01.06,010619300004,01.06.19.30.00.04,,0%,,,
1,01.06,010619300005,01.06.19.30.00.05,,0%,,,
1,01.06,010619300006,01.06.19.30.00.06,,0%,,,
1,01.06,010619300007,01.06.19.30.00.07,,0%,,,
1,01.06,010619309999,01.06.19.30.99.99,,0%,,,
1,01.06,010619400001,01.06.19.40.00.01,,0%,,,
1,01.06,010619400002,01.06.19.40.00.02,,0%,,,
1,01.06,010619409999,01.06.19.40.99.99,,0%,,,
1,01.06,010619500001,01.06.19.50.00.01,,0%,,,
1,01.06,010619500002,01.06.19.50.00.02,,0%,,,
1,01.06,010619500003,01.06.19.50.00.03,,0%,,,
1,01.06,010619500004,01.06.19.50.00.04,,0%,,,
1,01.06,010619500005,01.06.19.50.00.05,,0%,,,
1,01.06,010619500006,01.06.19.50.00.06,,0%,,,
1,01.06,010619509999,01.06.19.50.99.99,,0%,,,
1,01.06,010619600001,01.06.19.60.00.01,حيوانات حدائق ومعارض الحيوان وحيوانات مستوردة لهيئات علمية- - : لمختبرات التجارب والبحوث حيوانات حدائق حيوانات معارض الحيوان,0%,,,
1,01.06,010619600002,01.06.19.60.00.02,,0%,,,
1,01.06,010619600003,01.06.19.60.00.03,حيوانات مستورده لهيئات علميه لمختبرات التجارب والبحوث,0%,,,
1,01.06,010619900002,01.06.19.90.00.02,: غيرها- - قطط فئران أسود نمور فهود ضباع فيلة زرافات دببة عقارب عناكب )حيوانات مفترسة (الوشق )حيوانات مفترسة (الذئاب الحمار الوحشي وحيد القرن فرس النهر حيوان الزباد غيرها : ) زواحف (بما فيها الثعابين والسالحفالثعابين السالحف اإلجوانا التماسيح الضبان الحرباء غيرها من الزواحف : طيور: طيور جارحة- -,0%,,,
1,01.06,010619900003,01.06.19.90.00.03,,0%,,,
1,01.06,010619900004,01.06.19.90.00.04,,0%,,,
1,01.06,010619900005,01.06.19.90.00.05,,0%,,,
1,01.06,010619900006,01.06.19.90.00.06,,0%,,,
1,01.06,010619900007,01.06.19.90.00.07,,0%,,,
1,01.06,010619900008,01.06.19.90.00.08,,0%,,,
1,01.06,010619900009,01.06.19.90.00.09,,0%,,,
1,01.06,010619900011,01.06.19.90.00.11,,0%,,,
1,01.06,010619900012,01.06.19.90.00.12,,0%,,,
1,01.06,010619900013,01.06.19.90.00.13,,0%,,,
1,01.06,010619900014,01.06.19.90.00.14,,0%,,,
1,01.06,010619900015,01.06.19.90.00.15,,0%,,,
1,01.06,010619900016,01.06.19.90.00.16,,0%,,,
1,01.06,010619900017,01.06.19.90.00.17,,0%,,,
1,01.06,010619900018,01.06.19.90.00.18,,0%,,,
1,01.06,010619900019,01.06.19.90.00.19,,0%,,,
1,01.06,010619909999,01.06.19.90.99.99,,0%,,,
1,01.06,010620000001,01.06.20.00.00.01,,0%,,,
1,01.06,010620000002,01.06.20.00.00.02,,0%,,,
1,01.06,010620000003,01.06.20.00.00.03,,0%,,,
1,01.06,010620000004,01.06.20.00.00.04,,0%,,,
1,01.06,010620000005,01.06.20.00.00.05,,0%,,,
1,01.06,010620000006,01.06.20.00.00.06,,0%,,,
1,01.06,010620009999,01.06.20.00.99.99,,0%,,,
1,05.04,010639100001,01.06.39.10.00.01,"A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D Falcon Owls Other birds of prey - - Psittaciformes (including parrots, parakeets, macaws and cockatoos) : Parrots Parakeets Macaw Cockatoo Asian parrot African parrot Other parrots -- Ostriches; emus (Dromaius novaehollandiae) - - Other: - - - Tame and wild pigeons, partridges, pheasants, quail, snipe, sand grouse, wild ducks : A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D Note. I - This Chapter does not cover : ببغاء األمازوني- - ) البركيت(بيضاء وصغير الجسم- - ) المكاو(ببغاء فخم طويل الذيل- - ) كوكاتو (ببغاء ذو عرف- - الببغاء االسيوي- - الببغاء االفريقي- - ببغاوات اخر- - ) نعام ؛ آمو ( درومايوس ونوفيهولنداي- : غيرها- - A A D A A D A A D A A D A A D A A D A A A A A A A A A A A A A A A فـئة الرسم اإلجراء DESCRIPTION Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses : Fresh carcasses of bovine animals Fresh half-carcasses of bovine animals Chilled carcasses of bovine animals Chilled half-carcasses of bovine animals - Other cuts with bone in - Boneless Meat of bovine animals, frozen. - Carcasses and half-carcasses : Frozen carcasses of bovine animals Frozen half-carcasses of bovine animals - Other cuts with bone in - Boneless: - - - Minced - - - Other Meat of swine, fresh, chilled or frozen. - Fresh or chilled: - - carcasses and half-carcasses X C H X C H X C H X C H X C H - - Hams, shoulders and cuts thereof, with bone in X C H - - Other A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A A A A A A A A A A A A A A B A A B A A B A A B A A - - Hams, shoulders and cuts thereof, with bone in - - Other - Frozen: - - carcasses and half-carcasses حمام أليف حجل سماني قطا حمام بري طيور التدرج دجاج األرض طيور الشنقب طيور أرطالن البط البري طيور الزينة- - : غيرها- - حباري غيرها : حشرات نحل- : غيرها- جراد فراشات ديدان غيرها غيرهاالفصل الثاني لحوم وأحشاء وأطراف صالحة لألكل",5%,,,
1,05.04,010639100003,01.06.39.10.00.03,,5%,,,
1,05.04,010639100005,01.06.39.10.00.05,,5%,,,
1,05.04,010639100008,01.06.39.10.00.08,,5%,,,
1,05.04,010639100009,01.06.39.10.00.09,,5%,,,
1,05.04,010639100010,01.06.39.10.00.10,,5%,,,
1,05.04,010639100011,01.06.39.10.00.11,,5%,,,
1,05.04,010639100012,01.06.39.10.00.12,,5%,,,
1,05.04,010639100013,01.06.39.10.00.13,,5%,,,
1,05.04,010639100014,01.06.39.10.00.14,,5%,,,
1,05.04,010639200000,01.06.39.20.00.00,,5%,,,
1,05.04,010639900001,01.06.39.90.00.01,,5%,,,
1,05.04,010639909999,01.06.39.90.99.99,,5%,,,
1,05.04,010641000000,01.06.41.00.00.00,,5%,,,
1,05.04,010649000001,01.06.49.00.00.01,,5%,,,
1,05.04,010649000002,01.06.49.00.00.02,,5%,,,
1,05.04,010649000004,01.06.49.00.00.04,,5%,,,
1,05.04,010649009999,01.06.49.00.99.99,,5%,,,
1,05.04,010690000000,01.06.90.00.00.00,,5%,,,
1,02.09,020110000001,02.01.10.00.00.01,: مالحظة : اليشمل هذا الفصل-1 الصنف . طازجة أو مبردة،لحوم فصيلة األبقار : ذبائح كاملة وأنصاف ذبائحذبائح أبقار كاملة طازجة أنصاف ذبائح أبقار طازجة ذبائح أبقار كاملة مبردة أنصاف ذبائح أبقار مبردة قطع أخر بعظمها دون عظام. مجمدة،لحوم فصيلة األبقار : ذبائح كاملة وأنصاف ذبائحذبائح أبقار كاملة مجمده أنصاف ذبائح أبقار مجمده قطع أخر بعظمها: دون عظام مفروم- - غيرها- - . طازجة أو مبردة أو مجمدة،لحوم فصيلة الخنازير : طازجة أو مبردة ذبائح كاملة وأنصاف ذبائح- -,5%,,,
1,02.09,020110000002,02.01.10.00.00.02,,5%,,,
1,02.09,020110000003,02.01.10.00.00.03,,5%,,,
1,02.09,020110000004,02.01.10.00.00.04,,5%,,,
1,02.09,020120000000,02.01.20.00.00.00,,5%,,,
1,02.09,020130000000,02.01.30.00.00.00,,5%,,,
1,02.02,020210000001,02.02.10.00.00.01,,5%,,,
1,02.02,020210000002,02.02.10.00.00.02,,5%,,,
1,02.02,020220000000,02.02.20.00.00.00,,5%,,,
1,02.02,020230100000,02.02.30.10.00.00,,5%,,,
1,02.02,020230900000,02.02.30.90.00.00,,5%,,,
1,02.03,020311000000,02.03.11.00.00.00,,5%,,,
1,02.03,020312000000,02.03.12.00.00.00,,5%,,,
1,02.03,020319000000,02.03.19.00.00.00,غيرها- : مجمدة ذبائح كاملة وأنصاف ذبائح- -,5%,,,
1,02.03,020322000000,02.03.22.00.00.00,بعظمها، أفخاذ وأكتاف وقطعها- -,5%,,,
1,02.03,020329000000,02.03.29.00.00.00,غيرها- -,5%,,,
1,02.01,010632100000,01.06.32.10.00.00,". طازجة أو مبردة أو مجمدة،لحوم فصيلة الضأن أو الماعز - Carcasses and half-carcasses of lambs, fresh or chilled : Fresh carcasses of lambs Fresh half-carcasses of lambs Chilled carcasses of lambs Chilled half-carcasses of lambs - Other meat of sheep, fresh or chilled: - - carcasses and half-carcasses : Fresh carcasses of sheep Fresh half-carcasses of sheep Chilled carcasses of sheep Chilled half-carcasses of sheep - - Other cuts with bone in - - Boneless: Fresh boneless sheep Chilled boneless sheep Fresh boneless lambs Chilled boneless lambs : طازجة أو مبردة، ذبائح كاملة وأنصاف ذبائح حمالن- - Carcasses and half-carcasses of lambs, frozen : : مجمدة، ذبائح كاملة وأنصاف ذبائح حمالن- ذبائح كاملة حمالن طازجة أنصاف ذبائح حمالن طازجة ذبائح كاملة حمالن مبرده أنصاف ذبائح حمالن مبرده : لحوم ضأن أخر طازجة أو مبردة: ذبائح كاملة وأنصاف ذبائح- ذبائح ضأن كاملة طازجة أنصاف ذبائح ضأن طازجة ذبائح ضأن كاملة مبردة أنصاف ذبائح ضأن مبردة قطع أخر بعظمها- : دون عظام- لحوم ضأن دون عظام طازجة لحوم ضأن دون عظام مبردة لحوم حمالن دون عظام طازجة لحوم حمالن دون عظام مبردة ذبائح كاملة حمالن مجمده أنصاف ذبائح حمالن مجمده : مجمدة، لحوم ضأن أخر: ذبائح كاملة وأنصاف ذبائح- ذبائح ضأن كاملة مجمده أنصاف ذبائح ضأن مجمده قطع أخر بعظمها- : دون عظام- : مفروم- - مفروم طازج مفروم مبردة مفروم مجمد غيرها- - - بعظمها، أفخاذ وأكتاف وقطعها- - Meat of sheep or goats, fresh, chilled or frozen. Frozen carcasses of lambs Frozen half-carcasses of lambs - Other meat of sheep, frozen: - - Carcasses and half-carcasses : Frozen carcasses of sheep Frozen half-carcasses of sheep - - Other cuts with bone in - - Boneless: - - - Minced : Fresh minced Chilled minced Frozen minced - - - Other",5%,,,
1,02.01,010632200000,01.06.32.20.00.00,,5%,,,
1,02.01,010632300000,01.06.32.30.00.00,,5%,,,
1,02.01,010632400000,01.06.32.40.00.00,,5%,,,
1,02.01,010632500000,01.06.32.50.00.00,,5%,,,
1,02.01,010632600000,01.06.32.60.00.00,,5%,,,
1,02.01,010632900000,01.06.32.90.00.00,,5%,,,
1,02.01,010633000000,01.06.33.00.00.00,,5%,,,
15,02.01,010631000001,01.06.31.00.00.01,، قطا، شنقب، دجاج األرض، سماني، تدرج، حجل، حمام بري، حمام أليف- - : بط بري،أرطالن,5%,,,
15,02.01,010631000002,01.06.31.00.00.02,,5%,,,
15,02.01,010631009999,01.06.31.00.99.99,,5%,,,
2,02.01,020321000000,02.03.21.00.00.00,: ) ببغاوات ( بما فيها الببغاوات العادية والباراكيت والمكاو والكوكاتو- - Tame pigeons Partridge Quail Pterocles Wild pigeons Pheasants Snipe Woodcock Ortolan Wild ducks - - - Ornamental birds - - - Other : Houbara Other - Insects: - - Bees - - Other : Locust Butterflies Worms Other - Other Meat and edible meat offal A صقور البوم غيرها من طيور جارحة,0%,,,
2,02.04,020410000001,02.04.10.00.00.01,,0%,,,
2,02.04,020410000002,02.04.10.00.00.02,,0%,,,
2,02.04,020410000003,02.04.10.00.00.03,,0%,,,
2,02.04,020410000004,02.04.10.00.00.04,,0%,,,
2,02.04,020421000001,02.04.21.00.00.01,,0%,,,
2,02.04,020421000002,02.04.21.00.00.02,,0%,,,
2,02.04,020421000003,02.04.21.00.00.03,,0%,,,
2,02.04,020421000004,02.04.21.00.00.04,,0%,,,
2,02.04,020422000000,02.04.22.00.00.00,,0%,,,
2,02.04,020423000001,02.04.23.00.00.01,,0%,,,
2,02.04,020423000002,02.04.23.00.00.02,,0%,,,
2,02.04,020423000003,02.04.23.00.00.03,,0%,,,
2,02.04,020423000004,02.04.23.00.00.04,,0%,,,
2,02.04,020430000001,02.04.30.00.00.01,,0%,,,
2,02.04,020430000002,02.04.30.00.00.02,,0%,,,
2,02.04,020441000001,02.04.41.00.00.01,,0%,,,
2,02.04,020441000002,02.04.41.00.00.02,,0%,,,
2,02.04,020442000000,02.04.42.00.00.00,,0%,,,
2,02.04,020443100001,02.04.43.10.00.01,,0%,,,
2,02.04,020443100002,02.04.43.10.00.02,,0%,,,
2,02.04,020443100003,02.04.43.10.00.03,,0%,,,
2,02.04,020443900000,02.04.43.90.00.00,,0%,,,
